date,doy,pet_mm
2018-11-16,320,1.099
2018-11-17,321,0.415
2018-11-18,322,1.034
2018-11-19,323,0.684
2018-11-20,324,0.889
2018-11-21,325,0.061
2018-11-22,326,1.119
2018-11-23,327,0.379
2018-11-24,328,1.243
2018-11-25,329,0.537
2018-11-26,330,0.51
2018-11-27,331,0.832
2018-11-28,332,0.817
2018-11-29,333,0.576
2018-11-30,334,0.417
2018-12-01,335,0.044
2018-12-02,336,0.313
2018-12-03,337,0.442
2018-12-04,338,0.336
2018-12-05,339,0.789
2018-12-06,340,0.551
2018-12-07,341,0.43
2018-12-08,342,0.589
2018-12-09,343,0.494
2018-12-10,344,0.52
2018-12-11,345,0.63
2018-12-12,346,0.199
2018-12-13,347,0.231
2018-12-14,348,0.562
2018-12-15,349,0.796
2018-12-16,350,1.125
2018-12-17,351,1.008
2018-12-18,352,1.319
2018-12-19,353,0.887
2018-12-20,354,0.115
2018-12-21,355,0.232
2018-12-22,356,0.161
2018-12-23,357,0.886
2018-12-24,358,0.394
2018-12-25,359,0.307
2018-12-26,360,0.126
2018-12-27,361,0.139
2018-12-28,362,0.259
2018-12-29,363,0.299
2018-12-30,364,0.761
2018-12-31,365,0.079
