date,doy,pet_mm
2016-10-25,299,2.346
2016-10-26,300,0.711
2016-10-27,301,2.004
2016-10-28,302,3.034
2016-10-29,303,2.006
2016-10-30,304,1.246
2016-10-31,305,0.686
2016-11-01,306,3.084
2016-11-02,307,1.482
2016-11-03,308,2.324
2016-11-04,309,3.53
2016-11-05,310,2.897
2016-11-06,311,3.428
2016-11-07,312,1.553
2016-11-08,313,2.616
2016-11-09,314,2.211
2016-11-10,315,4.472
2016-11-11,316,1.952
2016-11-12,317,2.066
2016-11-13,318,3.632
2016-11-14,319,2.034
2016-11-15,320,2.546
2016-11-16,321,2.742
2016-11-17,322,3.037
2016-11-18,323,0.942
2016-11-19,324,1.656
2016-11-20,325,1.212
2016-11-21,326,2.053
2016-11-22,327,0.733
2016-11-23,328,0.339
2016-11-24,329,0.291
2016-11-25,330,0.441
2016-11-26,331,1.327
2016-11-27,332,0.062
2016-11-28,333,1.463
2016-11-29,334,1.325
2016-11-30,335,0.549
2016-12-01,336,0.488
2016-12-02,337,0.427
2016-12-03,338,0.614
2016-12-04,339,0.232
2016-12-05,340,0.657
2016-12-06,341,0.957
2016-12-07,342,0.691
2016-12-08,343,0.741
2016-12-09,344,0.378
2016-12-10,345,0.174
2016-12-11,346,0.33
2016-12-12,347,0.678
2016-12-13,348,0.665
2016-12-14,349,0.951
2016-12-15,350,0.533
2016-12-16,351,0.387
2016-12-17,352,0.248
2016-12-18,353,0.313
2016-12-19,354,0.71
2016-12-20,355,1.057
2016-12-21,356,1.341
2016-12-22,357,1.3
2016-12-23,358,0.201
2016-12-24,359,0.269
2016-12-25,360,0.073
2016-12-26,361,1.323
2016-12-27,362,1.038
2016-12-28,363,1.084
2016-12-29,364,1.681
2016-12-30,365,1.393
2016-12-31,366,0.764
